LexToken(KW_VOID,'void',7,247)
LexToken(ID,'main',7,252)
LexToken(DEL_LPAREN,'(',7,256)
LexToken(DEL_RPAREN,')',7,257)
LexToken(DEL_LBRACE,'{',7,259)
LexToken(DT_STRING,'String',8,263)
LexToken(ID,'mensaje',8,270)
LexToken(OP_ASSIGN,'=',8,278)
LexToken(VAL_STRING,'Hola Mundo',8,280)
LexToken(DEL_SEMICOLON,';',8,292)
LexToken(DT_STRING,'String',9,296)
LexToken(ID,'mensaje2',9,303)
LexToken(OP_ASSIGN,'=',9,312)
LexToken(VAL_STRING,'Hola de nuevo',9,314)
LexToken(DEL_SEMICOLON,';',9,329)
LexToken(DT_LIST,'List',10,333)
LexToken(OP_LESS,'<',10,337)
LexToken(DT_INT,'int',10,338)
LexToken(OP_GREATHER,'>',10,341)
LexToken(ID,'lista',10,343)
LexToken(OP_ASSIGN,'=',10,349)
LexToken(DEL_LBRACKET,'[',10,351)
LexToken(VAL_INT,1,10,352)
LexToken(DEL_COMMA,',',10,353)
LexToken(VAL_INT,2,10,355)
LexToken(DEL_COMMA,',',10,356)
LexToken(VAL_INT,3,10,358)
LexToken(DEL_RBRACKET,']',10,359)
LexToken(DEL_SEMICOLON,';',10,360)
LexToken(KW_VAR,'var',11,364)
LexToken(ID,'valorNulo',11,368)
LexToken(OP_ASSIGN,'=',11,378)
LexToken(KW_NULL,'null',11,380)
LexToken(DEL_SEMICOLON,';',11,384)
LexToken(DT_INT,'int',12,388)
LexToken(ID,'a',12,392)
LexToken(OP_ASSIGN,'=',12,394)
LexToken(VAL_INT,10,12,396)
LexToken(DEL_SEMICOLON,';',12,398)
LexToken(DT_INT,'int',13,402)
LexToken(ID,'b',13,406)
LexToken(OP_ASSIGN,'=',13,408)
LexToken(VAL_INT,5,13,410)
LexToken(DEL_SEMICOLON,';',13,411)
LexToken(DT_INT,'int',14,415)
LexToken(ID,'c',14,419)
LexToken(OP_ASSIGN,'=',14,421)
LexToken(ID,'a',14,423)
LexToken(OP_ARITHMETIC,'+',14,425)
LexToken(ID,'b',14,427)
LexToken(OP_ARITHMETIC,'-',14,429)
LexToken(DEL_LPAREN,'(',14,431)
LexToken(ID,'a',14,432)
LexToken(OP_ARITHMETIC,'*',14,434)
LexToken(ID,'b',14,436)
LexToken(DEL_RPAREN,')',14,437)
LexToken(OP_ARITHMETIC,'/',14,439)
LexToken(DEL_LPAREN,'(',14,441)
LexToken(ID,'a',14,442)
LexToken(OP_ARITHMETIC,'%',14,444)
LexToken(ID,'b',14,446)
LexToken(DEL_RPAREN,')',14,447)
LexToken(DEL_SEMICOLON,';',14,448)
LexToken(ID,'a',15,452)
LexToken(OP_ARITHMETIC,'++',15,453)
LexToken(DEL_SEMICOLON,';',15,455)
LexToken(ID,'b',16,459)
LexToken(OP_ARITHMETIC,'--',16,460)
LexToken(DEL_SEMICOLON,';',16,462)
LexToken(KW_IF,'if',18,469)
LexToken(DEL_LPAREN,'(',18,472)
LexToken(ID,'a',18,473)
LexToken(OP_LESS,'<',18,475)
LexToken(ID,'b',18,477)
LexToken(DEL_RPAREN,')',18,478)
LexToken(DEL_LBRACE,'{',18,480)
LexToken(DEL_RBRACE,'}',20,501)
LexToken(KW_IF,'if',21,505)
LexToken(DEL_LPAREN,'(',21,508)
LexToken(ID,'a',21,509)
LexToken(OP_GREATHER,'>',21,511)
LexToken(ID,'b',21,513)
LexToken(DEL_RPAREN,')',21,514)
LexToken(DEL_LBRACE,'{',21,516)
LexToken(DEL_RBRACE,'}',23,537)
LexToken(KW_SWITCH,'switch',25,544)
LexToken(DEL_LPAREN,'(',25,551)
LexToken(ID,'a',25,552)
LexToken(DEL_RPAREN,')',25,553)
LexToken(DEL_LBRACE,'{',25,555)
LexToken(KW_CASE,'case',26,561)
LexToken(VAL_INT,1,26,566)
LexToken(DEL_COLON,':',26,567)
LexToken(KW_BREAK,'break',27,575)
LexToken(DEL_SEMICOLON,';',27,580)
LexToken(KW_DEFAULT,'default',28,586)
LexToken(DEL_COLON,':',28,593)
LexToken(KW_BREAK,'break',29,601)
LexToken(DEL_SEMICOLON,';',29,606)
LexToken(DEL_RBRACE,'}',30,610)
LexToken(DEL_RBRACE,'}',31,612)
LexToken(KW_CLASS,'class',33,615)
LexToken(ID,'MyClass',33,621)
LexToken(DEL_LBRACE,'{',33,629)
LexToken(DEL_RBRACE,'}',33,630)

