LexToken(OP_NULLABLE,'?',45,1257)
LexToken(ID,'entrada',45,1259)
LexToken(OP_ASSIGN,'=',45,1267)
LexToken(ID,'stdin',45,1269)
LexToken(DEL_DOT,'.',45,1274)
LexToken(ID,'readLineSync',45,1275)
LexToken(DEL_LPAREN,'(',45,1287)
LexToken(DEL_RPAREN,')',45,1288)
LexToken(DEL_SEMICOLON,';',45,1289)
LexToken(KW_WHILE,'while',47,1294)
LexToken(DEL_LPAREN,'(',47,1300)
LexToken(ID,'decimal',47,1301)
LexToken(OP_LESS,'<',47,1309)
LexToken(VAL_DOUBLE,5.0,47,1311)
LexToken(DEL_RPAREN,')',47,1314)
LexToken(DEL_LBRACE,'{',47,1316)
LexToken(ID,'decimal',48,1322)
LexToken(OP_SINGLE_INCREMENT,'++',48,1329)
LexToken(DEL_SEMICOLON,';',48,1331)
LexToken(KW_BREAK,'break',49,1337)
LexToken(DEL_SEMICOLON,';',49,1342)
LexToken(DEL_RBRACE,'}',50,1346)
LexToken(DT_BOOL,'bool',52,1351)
LexToken(ID,'funcionIncompleta',52,1356)
LexToken(DEL_LPAREN,'(',52,1373)
LexToken(DEL_RPAREN,')',52,1374)
LexToken(OP_FLECHA,'=>',52,1376)
LexToken(KW_TRUE,'true',52,1379)
LexToken(DEL_SEMICOLON,';',52,1383)
LexToken(DT_STRING,'String',58,1530)
LexToken(ID,'cadenaDoble',58,1537)
LexToken(OP_ASSIGN,'=',58,1549)
LexToken(VAL_STRING,'Texto en comillas dobles',58,1551)
LexToken(DEL_SEMICOLON,';',58,1577)
LexToken(DT_STRING,'String',59,1581)
LexToken(ID,'cadenaSimple',59,1588)
LexToken(OP_ASSIGN,'=',59,1601)
LexToken(VAL_STRING,'Texto en comillas simples',59,1603)
LexToken(DEL_SEMICOLON,';',59,1630)
LexToken(DT_LIST,'List',60,1634)
LexToken(OP_LESS,'<',60,1638)
LexToken(DT_INT,'int',60,1639)
LexToken(OP_GREATHER,'>',60,1642)
LexToken(ID,'miLista',60,1644)
LexToken(OP_ASSIGN,'=',60,1652)
LexToken(DEL_LBRACKET,'[',60,1654)
LexToken(VAL_INT,1,60,1655)
LexToken(DEL_COMMA,',',60,1656)
LexToken(VAL_INT,2,60,1658)
LexToken(DEL_COMMA,',',60,1659)
LexToken(VAL_INT,3,60,1661)
LexToken(DEL_RBRACKET,']',60,1662)
LexToken(DEL_SEMICOLON,';',60,1663)
LexToken(KW_VAR,'var',61,1667)
LexToken(ID,'nulo',61,1671)
LexToken(OP_ASSIGN,'=',61,1676)
LexToken(KW_NULL,'null',61,1678)
LexToken(DEL_SEMICOLON,';',61,1682)
LexToken(DT_INT,'int',63,1689)
LexToken(ID,'calculo',63,1693)
LexToken(OP_ASSIGN,'=',63,1701)
LexToken(DEL_LPAREN,'(',63,1703)
